priref;rce_id;institution_name;institution_place;material_1;material_2;category;object_name;creator_name;creator_birth_date;creator_death_date;creator_digital_reference;cretor_gender;Production/0/creator/gender/text/1/_language;Production/0/creator/gender/text/1/__text;creator_pob;creator_pod;production_place;title;acquisition_source;acquisition_place;associated_subject
1293;rce_1293;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;glazuur;;toegepaste kunst;vaas;Brouwer, W.C.;1877-10-19;23-05-33;https://rkd.nl/explore/artists/13125;male;1;man;Leiden;LEIDERDORP;LEIDERDORP;Vaas;Veiling Mak van Waay;;vaas
1296;rce_1296;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;notenhout;vogeloogesdoornhout;toegepaste kunst;tafel;onbekend;;;;unknown;1;onbekend;;;;-;Hack, J.M.;VLISSINGEN;
1352;rce_1352;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;glazuur;;toegepaste kunst;melkkan;Ram, N.V. Plateelbakkerij;1921;1935;https://rkd.nl/explore/artists/104599;not applicable;1;niet van toepassing;ARNHEM;;ARNHEM;-;De XX Eeuw;Amsterdam;kan
1357;rce_1357;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;glazuur;;toegepaste kunst;melkkan;Brouwer, W.C.;1877-10-19;23-05-33;https://rkd.nl/explore/artists/13125;male;1;man;Leiden;LEIDERDORP;LEIDERDORP;-;Antiekmarkt ?;;keramiek
1463;rce_1463;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;notenhout;;toegepaste kunst;Drentse kast;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Beeling, A.C.;LEEUWARDEN;meubel
1620;rce_1620;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;glazuur;;toegepaste kunst;vaas;Brouwer, W.C.;1877-10-19;23-05-33;https://rkd.nl/explore/artists/13125;male;1;man;Leiden;LEIDERDORP;Gouda;Vaasje;Dommisse, H.;Amsterdam;vaas
1654;rce_1654;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;lak;;toegepaste kunst;kist;onbekend;;;;unknown;1;onbekend;;;Japan;Japanse lakkist;Veiling Mak van Waay;Amsterdam;meubel
1756;rce_1756;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;chaise en gondole;onbekend;;;;unknown;1;onbekend;;;;-;Kunsthandel Van Veen;Den Haag;meubel
3317;rce_3317;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegellijst;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;interieuraccessoire
3486;rce_3486;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;tempera;drukinkt;oude kunst;litho;Decaisne, H.;1799-01-27;1852-10-27;https://rkd.nl/explore/artists/263025;male;1;man;BRUSSEL;PARIJS;;Milton dicteert zijn Lost Paradise aan zijn dochters;Kunsthandel Van Veen;Den Haag;prent
3831;rce_3831;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;waterverf;papier;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;-;Porceleyne Fles;DELFT;
4477;rce_4477;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;spiegelglas;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;
4489;rce_4489;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;bekledingsstof;;toegepaste kunst;stoel;onbekend;;;;unknown;1;onbekend;;;;-;Kunsthandel Van Veen;Den Haag;meubel
4734;rce_4734;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;mahoniehout;;toegepaste kunst;commode;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Schalkwijk, mw. van;Den Haag;meubel
5369;rce_5369;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;waterverf;papier;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;-;Porceleyne Fles;DELFT;werk op papier
5421;rce_5421;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;waterverf;papier;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;Steenrand;Porceleyne Fles;DELFT;werk op papier
5542;rce_5542;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;papier;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;Napels;Porceleyne Fles;DELFT;stadsgezicht
5544;rce_5544;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;papier;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;-;Porceleyne Fles;DELFT;werk op papier
5545;rce_5545;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;papier;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;-;Porceleyne Fles;DELFT;werk op papier
5546;rce_5546;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;potlood;papier;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;-;Porceleyne Fles;DELFT;werk op papier
5547;rce_5547;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;potlood;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;-;Porceleyne Fles;DELFT;werk op papier
5548;rce_5548;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;potlood;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;-;Porceleyne Fles;DELFT;werk op papier
5549;rce_5549;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;potlood;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;-;Porceleyne Fles;DELFT;werk op papier
5550;rce_5550;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;krijt;papier;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;Monte Carlo;Porceleyne Fles;DELFT;stadsgezicht
5554;rce_5554;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;papier;toegepaste kunst;ontwerptekening;Senf, L.J.;1860-03-11;03-09-40;https://rkd.nl/explore/artists/90129;male;1;man;DELFT;ALKMAAR;DELFT;-;Porceleyne Fles;DELFT;werk op papier
5671;rce_5671;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;bekledingsstof;;toegepaste kunst;stoel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Schalkwijk, mw. van;;meubel
5759;rce_5759;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;bekledingsstof;;toegepaste kunst;canapé;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;meubel
6135;rce_6135;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;litho;Waanders, F.B.;1809-05-26;1880-12-29;https://rkd.nl/explore/artists/82328;male;1;man;Amsterdam;Den Haag;;De slag van Quattre-Bras;Antiquariaat Meijer-Elte N.V.;Den Haag;prent
6167;rce_6167;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kabinetkast;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;kast
6216;rce_6216;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;
6228;rce_6228;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;hardboard;oude kunst;gravure;Deur, J. (Johannes);;;;male;1;man;;;;T Hooge Heemraedschap van Delflant;Goekoop jr., mr. A.;Den Haag;prent
6235;rce_6235;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;textiel;oude kunst;gravure;Berckenrode, F.B. van;1562;;;male;1;man;DELFT;Amsterdam;;Ware afbeeldinge van Delflandt, ghemeten, ghecaerteert ende in't licht ghebracht door ...[etc.];Goekoop jr., mr. A.;Den Haag;werk op papier
6257;rce_6257;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;aquatint;Poncia & Co;;;;not applicable;1;niet van toepassing;;;;Carisbrook castle, Isle of Wight;Kunsthandel Van Veen;Den Haag;prent
6258;rce_6258;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;aquatint;Poncia & Co;;;;not applicable;1;niet van toepassing;;;;Brixton Church, Isle of Wight;Kunsthandel Van Veen;Den Haag;prent
6263;rce_6263;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;bekledingsstof;;toegepaste kunst;stoel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Stodel;Amsterdam;meubel
6295;rce_6295;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;bekledingsstof;;toegepaste kunst;armstoel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Beeling, A.C.;LEEUWARDEN;meubel
6313;rce_6313;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;spiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kunsthandel Van Veen;Den Haag;meubel
6396;rce_6396;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;litho;Desguerrois & Cie;;;;not applicable;1;niet van toepassing;;;;Wilhelmina (1774-1837), koningin der Nederlanden;Antiquariaat Meijer-Elte N.V.;Den Haag;prent
9303;rce_9303;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;notenhout;wortelnotenhout;toegepaste kunst;vitrinekast;onbekend;;;;unknown;1;onbekend;;;;-;Blaisse-van der Vijver, mw. M.;SCHIEDAM;vitrinekast
9391;rce_9391;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;karton;moderne kunst;gouache;Gestel, L.;1881-11-22;26-11-41;https://rkd.nl/explore/artists/31221;male;1;man;WOERDEN;Hilversum;;Huizer vrouw;Rijksacademie van Beeldende Kunsten (was legaat Gestel);Amsterdam;werk op papier
10682;rce_10682;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;mezzotint;Dayes, E.;1763;1804-05;;male;1;man;LONDEN;LONDEN;;A visit to the grandfather;Bal, Willem H.;MIDDELBURG;prent
16186;rce_16186;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Drielst, E. van;;1818-06-04;;male;1;man;GRONINGEN;Amsterdam;;-;Everwijn, D.W.;Leuvenheim;
16300;rce_16300;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Marieschi, M.;1710;1743;https://rkd.nl/explore/artists/52622;male;1;man;Venetië;Venetië;;Campo S. Giovanni e Paolo, Venetië;Bal, Willem H.;MIDDELBURG;prent
16322;rce_16322;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarel;drukinkt;oude kunst;ets;Sayer, R.;;1780;;male;1;man;;;;De zuilengang van het monument van Thrasyllus, Athene;Bal, Willem H.;MIDDELBURG;prent
16423;rce_16423;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Habermann, F.X.;1721;1796;https://rkd.nl/explore/artists/35048;male;1;man;Glatz;Augsburg;Duitsland;Rivier in Iamcefu,zevende hoofdstad van de provincie Nanking;Bal, Willem H.;MIDDELBURG;prent
16489;rce_16489;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;onbekend;;;;unknown;1;onbekend;;;;De Beurs, Sevilla;Bal, Willem H.;MIDDELBURG;prent
16537;rce_16537;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;Het Plaza de S. Francisco, Sevilla;Bal, Willem H.;MIDDELBURG;prent
16562;rce_16562;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Daumont;;;;male;1;man;;;;De Place d'Alliance, Nancy;Bal, Willem H.;MIDDELBURG;prent
16584;rce_16584;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;De Seine vanaf de Pont Neuf, Parijs;Bal, Willem H.;MIDDELBURG;prent
16590;rce_16590;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;moderne kunst;waterverfschildering;Schmidt, Karel Albert;1880-10-13;17-10-20;https://rkd.nl/explore/artists/70703;male;1;man;Makassar;BLARICUM;;Vuur op Blaricum;Schmidt, Karel (jr.);ZEIST;werk op papier
16617;rce_16617;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;De Promenade, Marseille;Bal, Willem H.;MIDDELBURG;prent
16706;rce_16706;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;Promenade van de cypressentuin bij het paleis van de sultan;Bal, Willem H.;MIDDELBURG;prent
16739;rce_16739;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;onbekend;;;;unknown;1;onbekend;;;;Het Grote Plein, Murnau;Bal, Willem H.;MIDDELBURG;prent
16750;rce_16750;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;Eerste binnenplaats van de hertogelijke residentie, Milaan;Bal, Willem H.;MIDDELBURG;prent
16762;rce_16762;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;S. Giovanni di Laterano, Rome;Bal, Willem H.;MIDDELBURG;prent
16784;rce_16784;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;onbekend;;;;unknown;1;onbekend;;;;Het Palacio Real, Madrid;Bal, Willem H.;MIDDELBURG;prent
16806;rce_16806;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarel;drukinkt;oude kunst;opticaprent;onbekend;;;;unknown;1;onbekend;;;;Westminster bridge, Londen;Bal, Willem H.;MIDDELBURG;prent
16818;rce_16818;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;gouacheverf;papier;moderne kunst;waterverfschildering;Schmidt, Karel Albert;1880-10-13;17-10-20;https://rkd.nl/explore/artists/70703;male;1;man;Makassar;BLARICUM;;Tuin der zielen II (groen-oranje);Schmidt, Karel (jr.);ZEIST;werk op papier
16840;rce_16840;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;gouacheverf;papier;moderne kunst;waterverfschildering;Schmidt, Karel Albert;1880-10-13;17-10-20;https://rkd.nl/explore/artists/70703;male;1;man;Makassar;BLARICUM;;Dorpsgezicht, mogelijk Zandvoort met watertoren;Schmidt, Karel (jr.);ZEIST;werk op papier
16861;rce_16861;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Daumont;;;;male;1;man;;;Frankrijk;Porte St. Antoine, Paris;Bal, Willem H.;MIDDELBURG;werk op papier
16873;rce_16873;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Daumont;;;;male;1;man;;;Frankrijk;De ingang van het kasteel, Marly;Bal, Willem H.;MIDDELBURG;architectuur
16877;rce_16877;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;krijt;papier;moderne kunst;aquarel;Schmidt, Karel Albert;1880-10-13;17-10-20;https://rkd.nl/explore/artists/70703;male;1;man;Makassar;BLARICUM;;Abstract portret (relatie Beeldende Wiskunde);Schmidt, Karel (jr.);ZEIST;werk op papier
16900;rce_16900;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;gouacheverf;papier;moderne kunst;waterverfschildering;Schmidt, Karel Albert;1880-10-13;17-10-20;https://rkd.nl/explore/artists/70703;male;1;man;Makassar;BLARICUM;;Zelfportret (vermoed);Schmidt, Karel (jr.);ZEIST;werk op papier
16905;rce_16905;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;krijt;papier;moderne kunst;olieverfschildering;Schmidt, Karel Albert;1880-10-13;17-10-20;https://rkd.nl/explore/artists/70703;male;1;man;Makassar;BLARICUM;;Vluchtelingen WO I;Schmidt, Karel (jr.);ZEIST;werk op papier
16981;rce_16981;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;gouacheverf;krijt;moderne kunst;waterverfschildering;Schmidt, Karel Albert;1880-10-13;17-10-20;https://rkd.nl/explore/artists/70703;male;1;man;Makassar;BLARICUM;;"Voorkant Wieken; Achterkant schets Christus en Maria Magdalena";Schmidt, Karel (jr.);ZEIST;religie
16995;rce_16995;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;mezzotint;Hodges, C.H.;1764;1837-07-24;;male;1;man;Portsmouth;Amsterdam;Noordelijke Nederlanden;Willem I (1772-1843), koning der Nederlanden;Rijksprentenkabinet;Amsterdam;werk op papier
16996;rce_16996;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;gouacheverf;papier;moderne kunst;waterverfschildering;Schmidt, Karel Albert;1880-10-13;17-10-20;https://rkd.nl/explore/artists/70703;male;1;man;Makassar;BLARICUM;;Kleurschets (zittende vrouwmet kap waarneemb);Schmidt, Karel (jr.);ZEIST;werk op papier
17026;rce_17026;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;gouacheverf;papier;moderne kunst;waterverfschildering;Schmidt, Karel Albert;1880-10-13;17-10-20;https://rkd.nl/explore/artists/70703;male;1;man;Makassar;BLARICUM;;Herman Hana  - 10 procent;Schmidt, Karel (jr.);ZEIST;werk op papier
17039;rce_17039;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;gravure;Delff, W.J.;1580-11;1638-04-11;;male;1;man;DELFT;DELFT;Noordelijke Nederlanden;Johan Maurits (1604-1679), graaf van Nassau-Siegen;Rijksprentenkabinet;Amsterdam;werk op papier
17277;rce_17277;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Baur, J.W.;1600;1640;;male;1;man;STRAATSBURG;Wien;Duitsland;Aankomst van schepen bij het Koninklijk Paleis, Napels;Bal, Willem H.;MIDDELBURG;topografie
17288;rce_17288;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Leizel, B.F.;;;;male;1;man;;;Duitsland;De zeekant van Livorno;Bal, Willem H.;MIDDELBURG;prent
17299;rce_17299;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Leizel, B.F.;;;;male;1;man;;;Duitsland;De Piazza del Popolo, Rome;Bal, Willem H.;MIDDELBURG;werk op papier
17344;rce_17344;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Basset;;;;not applicable;1;niet van toepassing;;;Frankrijk;Canal Grande van nabij de Ponte di Rialto, Venetië;Bal, Willem H.;MIDDELBURG;werk op papier
17355;rce_17355;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;onbekend;;;;unknown;1;onbekend;;;Frankrijk?;De Piazzetta en de ingang van het Canal Grande, Venetië;Bal, Willem H.;MIDDELBURG;prent
17366;rce_17366;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;Plundering van een stad;Bal, Willem H.;MIDDELBURG;prent
17377;rce_17377;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;onbekend;;;;unknown;1;onbekend;;;Frankrijk;De Place Dauphine, Parijs;Bal, Willem H.;MIDDELBURG;prent
17388;rce_17388;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;Boulevard bij de Porte St. Antoine, Parijs;Bal, Willem H.;MIDDELBURG;prent
17410;rce_17410;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;Tolhuis aan de Theems, Londen;Bal, Willem H.;MIDDELBURG;prent
19501;rce_19501;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Leizel, B.F.;;;;male;1;man;;;Duitsland;De ingang van de haven van Marseille;Bal, Willem H.;MIDDELBURG;topografie
19512;rce_19512;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;onbekend;;;;unknown;1;onbekend;;;;Gezicht op de Piazza Amorosa (toneeldecor);Bal, Willem H.;MIDDELBURG;prent
